Original File name/description,File name,,Used images (as of 2/26),Unused images (as of 2/26)
"0001-8 1800-1820 Elaborate ballgown in McCord Museum, side and back.jpg",0001_image.jpg,,0002_image.jpg,0001_image.jpg
"0002-24 Sailor with sextant, American 19th c.jpg",0002_image.jpg,,0006_image.jpg,0003_image.jpg
"0003-25. Atlantic sailors on ship repairing sails GRAFTON, 1840-70.jpg",0003_image.jpg,,0008_image.jpg,0004_image.jpg
"0004-36 Quaker with children, Goodrich.jpg",0004_image.jpg,,0008_image.jpg,0005_image.jpg
"0005-41. Quaker woman oil painting, ca. 1840, Wayne County Historical Society, NY.jpg",0005_image.jpg,,0008_image.jpg,0007_image.jpg
"0006-45. Liquor loss and gain, 1847, in 'W S M Works in the Collection'.jpg",0006_image.jpg,,0009_image.jpg,0013_image.jpg
"0007-1700-on American smock with less smocking by Carma from Bryan Weston , Miss. Nauvoo, May 2009.jpg",0007_image.jpg,,0009_image.jpg,0035_image.jpg
"0008-1700s-1860s. Pockets on ribbon tie, Old Sturbridge Village, wear under apron or dress.jpg",0008_image.jpg,,0010_image.jpg,0036_image.jpg
0009-1790 to 1820 men shirt.jpg,0009_image.jpg,,0011_image.jpg,0042_image.jpg
"0010-1800 American smock sketch drawn from photo by Carma from Bryan Weston , Miss. Nauvoo, May 2009.jpg",0010_image.jpg,,0012_image.jpg,0043_image.jpg
"0011-1800 A blue and white striped smock,wool over suit- Sturbridge Village.jpg",0011_image.jpg,,0014_image.jpg,0045_image.jpg
0012-1800 Breeches diagram with leg plackets by Carma copy.jpg,0012_image.jpg,,0015_image.jpg,0046_image.jpg
0013-1800 broadfall trousers pattern.jpg,0013_image.jpg,,0016_image.jpg,0047_image.jpg
0014-1800 Farmer with a cradle scythe Missouri Historical Review vol 102 no 1 Oct 07 SHSMO 028098.jpg,0014_image.jpg,,0017_image.jpg,0048_image.jpg
"0015-1800 Linen Preparation in cold streams, altered from Pyne plate 16.jpg",0015_image.jpg,,0018_image.jpg,0050_image.jpg
0016-1800 military red coat uniform and cocked hat Colonel Thomas Grosvenor (1764-1851).jpg,0016_image.jpg,,0019_image.jpg,0052_image.JPG
"0017-1800 on, Smock. Whitmer, David young farmer drawing by Robert Barrett for Grandin.jpg",0017_image.jpg,,0021_image.jpg,0053_image.jpg
0018-1800 Regency British officer Naval Uniforms.jpg,0018_image.jpg,,0022_image.jpg,0054_image.jpg
