id,image,year_from,year_to,pdf,person,class,clothing,caption,description,source
1,0010_image.jpg,1700,1900,1800-1819,men,working,garment,"American Smock with less smocking than European styles, and no additional embroidery.","Smocks were the most common working man's clothing of the 1700s & 1800s in both the old world and the new. This is a linen smock from America with smocking in front and a placket of four buttons. There is a little smocking at the collar line in center back. (It is not a ""round smock,"" which would have a placket on the back side as well, to allow wearing it reversed.) On the shoulders are double layers of linen that cover all raw edges, and are called the ""straps,"" for reinforcing the smock. Sometimes, a strongly made smock could be used for future generations. Nothing went to waste or was thrown away if there was still some use in it. American smock fronts have varied smocking designs, with only two inches of smocking on the cuff-lines of the sleeves. Note that the smocking does not go all the way around the cuffs, but is centered, and is there simply for beauty's sake. Other pleats in the sleeve fabric attach to the side of the cuff opening. Under the rectangular arm sections are the usual seveninch squares sewn into the sleeves and body as folded, triangular gussets. On the shoulders, the long “straps,” and the facings inside the smock, cover the raw seams of sleeve insertions and are pressed inward toward the neckline. This completely covers the raw edges of the sleeves and straps. All raw edges of the fabric are turned under with small, hand whip-stitching that is hardly seen on the outside of the smock, this adds strength to the garment. Such construction will survive generations of work and washing. At the bottom of the side seam (French-seamed) is a tiny gusset at the top of the side slit to prevent side-seam tearing. There is plenty of room within this smock for a farmer to comfortably lift hay, drive a team, etc. The smock could be any neutral color of linen or dyed to a dark navy blue or brown for little boys' smocks. In New England, Nova Scotia or Canada smocks could even be wool, subtly striped, and much longer. Wool would protect men better than linen from cold, rain, snow, and dirt.",Drawn by Carma from a smock made by a Nauvoo missionary’s wife using Carma's measurements and sewing tutelage. Free use. 
2,0596_image.jpg,1800,1900,1800-1819,men,working,costume,Farmer wears a work smock and trousers.,"Of the large Germanic Whitmer family in Fayette, New York, David Whitmer had a strong mind and body. Here he wears the usual American linen smock to cover his clothing while working. If the day were hot, a farmer might wear nothing on his torso except his tough linen smock. He also wears a broad-brimmed, low crowned hat and heavy leather work shoes. David's family hosted Joseph Smith, Jr. for one month while the Prophet used this safe place to get away from life-threatening mobs while translating the Book of Mormon from ancient gold plates into English. ","This ink drawing, a portrait by Robert Barrett, is displayed in the Grandin Print Shop, Palmyra, New York. The clothing was carefully coached by Carma for the artist. "
3,0676_image.jpg,1700,1870,1800-1819,men,working,garment,A very simple man's woolen work smock is fully lined.,"This drab-colored woolen smock has no fancy stitching on it, but is a straight, hanging tunic with broad shoulders. It is fully lined with yellow and brown plaid fabric for warmth. Its sleeves have small sleeve pleats at the narrow, sewn-on cuffs. A simple 1 inch binding at the neck is of the same tunic fabric. This over-smock was used as an additional two layers of fabric that could be conveniently pulled on over the head for cold farm work. ","Drawn by Carma when this American smock was a recent acquisition at Old Sturbridge Historic Village in Sturbridge, New York. Free use. "
4,0019_image.jpg,1700,1900,1800-1819,men,working,garment,Smock from Old Sturbridge Village collection,"This man's calf-length smock hadbeen repaired, as we can see a carefully reinforced seam just left of bottom center. A tear had taken place from the front hem and upward about 15 inches. Perhaps that split in the fabric was there when the smock was first made, many years before, and had been sewn up to prevent fraying. Then the fabric could still be used as good linen to create a long-sleeved smock for a man. This design has only a square of smocking stitches in top front, no wider than the flat collar spreads. All stitching and openings are identical on front and back, making it a reversible ""Round Smock."" The sleeves have the expected section of smocking near the narrow cuffs, but not all the way around the cuffs. It had lasted a long time by being used on both, reversible sides for many years, or more than one generation. The owner donated it to the historic village. It is definitely a New England type of smock and is badly tacked up for this display. The shoulder width would have dropped a little off the farmer's shoulders when worn.","Old Sturbridge Village, a wonderful national park in Massachusetts showing historical Americana. From a booklet"
5,0011_image.jpg,1830,1840,1800-1819,men,working,costume,A blue and white striped smock over regular clothes,"A woolen smock with a squarish neckline binding added protection and warmth when worn over everything a man normally had on, even his coat, shirt, and tie. He could then go about his business in town or around his lands in very cold weather in Britain, Canada, or Northern U.S. and still keep his underneath clothing clean.","Booklet from Old Sturbridge Village, Sturbridge, Mass."
6,0002_image.jpg,1800,1819,1800-1819,men,working,costume,American sailor holding a sextant,"This hard-working sailor is not military, but one of the thousands of sailors who manned trading ships from port to port and country to country. His blouse has full front and back torso, and very full sleeves under a wide collar. His hat is flat with a long ribbon around the crown that falls to his shoulders. He also has a scarf tied under his collar. The trousers are the renowned, sailor bell-bottoms. If a sailor fell into the sea, he could lift a wet bell-bottom above the waves, trap air in the voluminous leg, and hold it tight at the bottom to provide a float. Wet fabric would hold the air in for a quite a while as he waited for help. Chances are good that many sailors on older ships wore not uniform sailor garb, but whatever they had in shirts or trousers. It probably depended on the strictness of the owner, and who was paying for his clothing.",
7,0014_image.jpg,1800,1860,1800-1819,men,working,costume,Farmer with a cradle scythe cuts his straw.,"This farmer, wearing a vest and shirt, breeches, boots, and bowler hat, swings a multi-pronged cradle scythe into his late crop of straw. The extra prongs gather the straw as it is cut to deposit it in a swath. At the end of the cutting stroke, a farmer tilts the cradle to drop the straw in a pile. A horse and wagon with farm helpers are in the background to carry the straw piles into a giant stack.","Missouri Historical Review Oct. 2007, State Historical Society of Missouri, Columbia, Missouri. 02-80-98 "
8,0015_image.jpg,1800,1819,1800-1819,family,working,costume,Linen preparation used for centuries,"This woman has a checkered shawl around her neck and shoulders, as well as a small white cap over her hair. Her skirt seems to be above ankle length and one layer pinned up in back while tramping through the mud. The Man is in breeches and a shirt with rolled-up sleeves. He is barefoot in the water. Woven Linen had to be soaked in water and then lain out on grasses to bleach in the sunlight. This was a dangerous time for textile makers because even in daylight the yardages of linen could be quickly stolen, denying the makers of their proper earnings after long seasons of work. Usually, the linens are laid out wet for 2-5 days of sunning and bleaching, being rinsed wet again each day.",Enhanced by Carma from W. H. Pyne. Free use. 
9,0012_image.jpg,1700,1850,1800-1819,men,working,garment,Breeches with close-up of knee plackets.,"These particular breeches show a narrow front opening with two buttons, called a “French fall.” This is not a “broad fall” that extends widely from side to side, as in most breeches of the day. The French Fall is narrow. There is also a placket at the knees with 4 buttons to close the breech knee over high stockings. Breeches could be made of woven wool, of wool densely machine knitted, of leather, or of lined silk or heavy work cloth.",Watercolor and Photo by Carma; free use.
10,0124_image.jpg,1800,1860,1800-1819,men,working,garment,“Broadfall” trousers with a strapped-under variation on the hem.,"Broadfall trousers were usually loose in the seat. Most men wanted room to sit comfortably in spite of looking a little baggy in back, even in the best clothing. The strapped-under hem has black elastic under the shoe.",Watercolor illustrations by Carma; free use.
