id,image,thumbnail,year_from,year_to,person,clothing,caption,description,source
0,AalborgPetticoatWithTasseledDrawstrings.png,AalborgPetticoatWithTasseledDrawstrings_thumb.png,1840,1850,family,garment,"Aalborg petticoat with tasseled drawstrings, half silk and wool, 1840.","This Danish petticoat from Aalborg is made of fibers of half silk and wool, with silk stripes woven into woolen fabric. The Scandinavian people purposely wove some stripes in the warp fibers to make stripes on or near the hemline, thus spacing stripes to the average length needed near the hemline It is uncertain what dark color this apron is, but paler color was need for the stripes. The drawstring gathers the waistline to fit, with the excess hanging. There is no waistband","Aalborg Historical Museum, Item #13441.Given among other permitted Xeroxes of some items when Carma's research day was finished too soon."
1,AbigailLeonoraSnowMorely.png,AbigailLeonoraSnowMorely_thumb.png,1840,1850,women,costume,Abigail Leonora Snow Morely is seen here in a warm day dress of 1840s.,"Leonora (1801-1872) wears petticoats underneath which cause minimal fullness over her knees. She has a needleworked collar on the high neck, as well as white cuffs against a medium toned color of dress wool.This ample skirt shows that she is well fixed for lovely clothing and all her needs. Her bodice shows a stiff corset around her rib cage, with fairly loose sleeves left from 1830s, but little caplets, trimmed in dark braid at the upper armseye. Likely there is more braid other places on the bodice if not seen in this image.  Her batiste white day-cap is well sewn with shirring down each side of her cheeks and seems to be anchored with wide black ribbons under the chin.She is not wearing gloves. A dark shadow obscures her left arm and shoulder.",Lds Church Archives.
2,ABlackWoolFlannelPetticoatCloak.png,ABlackWoolFlannelPetticoatCloak_thumb.png,1800,1810,women,costume,A black wool flannel petticoat is worn as a cloak over a poor Irish woman's head.,"The cloak is tied on with a man's colorful woven ""crios"" belt to help manage it over her head for cold winds.","Anne O'Dowd, curator of the National Museum of Ireland"
3,aboveWristGlove.png,aboveWristGlove_thumb.png,1800,1800,women,costume,"Above-wrist glove of black childskin with very smooth, fine seams.",A glove reaches over the wrist to bracelet length. Minimal stitching is on the back of the glove.,"Gloves in Carmas collection which she wore, herself , in the 1960s."
4,adamsFamily.png,adamsFamily_thumb.png,1830,1840,family,costume,"The Adams family, parents and baby girl, a portrait taken at sudden death of their infant. 1840s","It was possible for a fairly wealthy couple to rush a child to a daguerreotypist if their baby died, in order to depict the precious one for remembrance. This little girl is wearing a horizontally striped dress with a small band around the waist. There is some unclear decoration of the front yoke. Black shoes fit over pulled up stockings. The sad young father wears his best business clothes of silk vest under M-cut lapels, with a black, silky, long, loosely-knotted tie and its jeweled stick-pin. His trousers are a paler dark shade as is the fashion. His hair is below the ears with a jawline beard. The mother is in a black silk dress for this daguerreotype of the mid-1840s. If a young woman were wealthy enough she already had mourning clothing in her trousseau at marriage. Her bodice is gathered from shoulder to center waist point, while her dainty, white lace, flat collar has a ribbon of ombre silk in center front. A textured black shawl hangs low on her arms. Her center-parted hair lies in ringlets in front of her ears, and her eyes are shadowed with weeping. Museums of Europe and America have displayed many little baby or toddler dresses that were treasured and never used on other child. If a young child had died within the first 18 months, parents could not bear to give away a small keepsake dress for boy or girl, and may even have framed it on a wall.",Many similar Daguerreotypes are found online at Daguerreotype of dead child. This portrait is at: https://www.flickr.com/photos/28085772@N06/2810353720
5,ALargeWhiteWoolShawl.png,ALargeWhiteWoolShawl_thumb.png,1860,1900,women,costume,"A large, fancy knitted white wool shawl on an Irish woman (detail).","A photo taken in Galway County, on the west near the Atlantic coast of Ireland. This is Brigid Mkinerney Kelly More, in 1900, but her knitted designs have been used for more than a hundred years. They were all used in the 1800s and very probably long before.","Ann O'Dowd, FIND TITLE (National Museum of Ireland, Dublin,1990; Photography Valerie Dowling, CitrionPress."
6,AmanaColony.png,AmanaColony_thumb.png,1855,1865,family,costume,An Amana colony of German-Americans whose members shared all things in common. 1855,"The Amana Colonies are a group of seven village settlements of German Pietists in Iowa. Calling themselves the Ebenezer Society or the Community of True Inspiration, these Germans first settled in New York state near Buffalo. In order to live out their beliefs in more isolated surroundings they moved west to east-central Iowa in 1855. They lived a communal life until the mid-1930s. Women wear black aprons, long sleeves, and white or black head scarves.","Photograph from ""The Amana Colonies,"" printed by the Amana Society in 1974, now registered with National Park Service. (Text condensed from Wikipedia.)"
7,amyHyde.png,amyHyde_thumb.png,1840,1850,women,costume,"Amy Hyde, with a very serious expression, wears a typical, center-gathered 1840s bodice with a voluminous skirt and petticoats. ca.: 1840s.","The dress in this formal portrait might be colored, or shades of black, grey and white. (Carma has often seen that purples and white were a basic color scheme.) This glossy silk dress uses elongated paisley shapes which are simplified into the intriguing design of two darker colors with white. Like many dresses of this time, a shirred bodice gathers diagonally from a shoulder blade seam in back, forward into a solid shirring at the center waistline. The gathering appears to have been smocked at the waist. Amy wears a small lace collar and a line of white on her cuffs. The narrow sleeves are bias cut and fit easily around the bend of arms. Her 1840s, sheer day cap has ribbon bows on the sides, and untied, curling, silk ribbons dangling down. Amy was the daughter of John Hyde, a minister near Rochester, NY,","Photo portrait in the Eastman International Museum of Photography, Rochester New York. Photo by Carma. Free use."
8,AnAgingWelshWoman.png,AnAgingWelshWoman_thumb.png,1800,1810,women,costume,An aging Welsh woman doggedly wore her old mourning clothing until she died.,"In the 1800s, this strong old woman had inherited her magnificent hat from an ancestor of the 1700s. Beneath it is a black, sheer, ruffled lawn ""bonnet"" (day-cap) with silk ribbon ties This garb was still worn from her lifetime of mourning for many close and honored relatives' deaths. Her skirt was heavy grey wool with tucks in the hem that shorten it in old age. Her slightly lighter grey wool shawl hangs over a black jacket. Hand-woven decor on the shawl is a very pale grey stripe with a red stripe above it. One shoe of fine leather is barely seen. A gloved hand holds her cane, and the other holds a mourning handkerchief in her lap. This image was possibly taken in a photographer's indoor studio arranged by her well-to-do family members. Her history tells that she was so industrious she took governance over a very large farm when her husband and some of her 10 sons died one after the other of unexpected causes. She ran the whole business in charge of her last sons and other workers for all her years until her death in old age.","Photo Donated to Carma by, Bliss Brimley Hansen author of Thomas Job."
9,AnEnglishCarter.png,AnEnglishCarter_thumb.png,1800,1900,men,costume,An English carter in a smock and a derby hat,"Smocks were the most commonly worn clothing of the working class throughout Europe, Britain and America. The upper one is the coat smock front with 10 buttons. There is little embroidery on the collar. Shoulder added embroidered rain guards and there are buttoned flap pockets. Extremely dense smocking covers both front and back of the smock. A close-up of the gathers and two button cuffs is very interesting because smocking stitches do not continue all around the sleeve cuff.","Gertrude Jekyll, Old English Household Life: Some Account of Cottage Objects and Country Folk (New York, HarperCollins Distribution Services; Revised edition, September 1975)."
